Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
N 239  	Stangeland	Høiland sn	Rogaland fylke	Sandnes								V	RAK		sten		runsten		L 1463		
N 240 M 	Tjora kirke	Sola sn	Rogaland fylke	Sola	Bergens museum	(58.905 ; 5.609)						M ca 1150			sten		gravhäll				
N 241 † 	Sola	Sola sn	Rogaland fylke	Sola								V? troligen 1000-t			sten		runsten				
N 242  	Mælhaug	Sola sn	Rogaland fylke	Sola	Bergens museum							?	RAK		sten		runsten	Troligen nonsensinskrift.			
N 243 † 	Helland	Sola sn	Rogaland fylke	Sola								?			sten		runsten				
N 244  	Helland	Sola sn	Rogaland fylke	Sola					[lokalitet/24682]			V	RAK		sten	gråsten	runsten		L 1461		
N 245  	Helland III	Sola sn	Rogaland fylke	Sola					[lokalitet/54313]			V	RAK		sten		runsten		L 1462		
N 246 $ 	Byberg	Sola sn	Rogaland fylke	Sola	Stavanger museum (nr. 3893)							V			sten	täljsten	sländtrissa	Runföljden tolkas handsôl i NIyR.		$=Material på Runearkivet	
N 247 M 	Skadberg	Sola sn	Rogaland fylke	Sola	Stavanger museum (nr. 3966)							M 1100-t			sten		runsten				
N 248 $M 	Madla kirke	Madla sn	Rogaland fylke	Stavanger	Stavanger museum (nr. 1616)							M 1270-1315			metall	bly	kors	Jämför N A362.		$=NOR 2001:13ff, http://urn.nb.no/URN:NBN:no-45071; NIyR III s. 308f	
N 249 M 	Bø	Randaberg sn	Rogaland fylke	Randaberg		(59.0138 ; 5.5790)			[lokalitet/54036]			M 1100-t			sten		runsten		L 2039		
N 250 †M 	Stavanger, domkirken	Stavanger	Rogaland fylke	Stavanger		(58.9703 ; 5.7333)						M andra hälften av 1100-t			trä	trä	träinskrift				
N 251  	Stavanger, Mariakirken	Stavanger	Rogaland fylke	Stavanger	Stavanger museum	(58.9699 ; 5.7333)						V första delen av 1000-t	RAK		sten		runsten				
N 252  	Stavanger	Stavanger	Rogaland fylke	Stavanger	Stavanger museum							V			sten	gnejs	stenkors				
N 253 M 	Årdal kirke	Årdal sn	Rogaland fylke	Hjelmeland	Bergens museum	(59.1546 ; 6.1908)						M			sten		runsten				
N 254 M 	Fister kirke	Fister sn	Rogaland fylke	Hjelmeland	Oldsaksamlingen	(59.1757 ; 6.0626)						M			metall	järn	dörring				http://www.khm.uio.no/tema/utstillingsarkiv/kyss-meg/7_kirken.html
N 255  	Fister	Fister sn	Rogaland fylke	Hjelmeland								V			sten	täljsten	vävlod				
